question,answer
화학생명공학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 일반화학실험, 유기화학실험, 단위조작실험, 기기분석실험, 바이오화학제품제조, 환경분석실험, 생명과학개론, 생물화학공학실험, 화학분석실험이며, "
화학생명공학과의 취업분야는 어떻게 되나요?,"정유, 가스, 에너지등 석유화학, 바이오등 생명화학, 반도체, 디스플레이, 배터리등 소재고분자화학, 제약, 원료의약 등 제약산업, 화장품, 헬스, 화학기타 등이 있습니다."
재료공학과는 어떤 과인가요?,"각종 신소재 개발과 재료 응용 분야의 확대에 따라 전문 지식과 기술을 갖춘 인력 요구에 맞춰 전공 기초 능력함양을 기본으로, 금속을 비롯한 다양한 재료의 기초 이론과 체계적인 실무중심의 실습과 현장 실무형 교육 체계를 바탕으로 산업체에서 요구하는 유능한 전문기술인을 양성합니다."
재료공학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 재료과학, 재료공학개론, 철강재료학, 제선제강공학, 반도체제조공정, 재료시험실무, 박막공학실무 등이 있습니다."
재료공학과의 취업분야는 어떻게 되나요?,"철강 분야, 재료공정 분야, 반도체 분야, 디스플레이 분야, 신소재 분야 등이 있습니다."
항공운항과는 어떤 과인가요?,1. 다양한 외국어 구사능력과 세계문화이해를 통한 세련된 매너 습득  2 .창의와 융합을 기반으로 한 문제해결능력 함양 3. 항공 이론/실무 실습과 서비스 현장교육 중심의 전문 항공 서비스 인재 양성  인하공업전문대학 항공운항과는 1977년 국내 최초 항공객실승무원 전문인 양성 목적으로 설립되어 고객과 산업체 니즈에 맞는 인재를 지속적으로 육성하고 있습니다.
항공운항과는 주로 어떤 과목을 배우나요?,"주요 교과목은 항공기내방송실무, 항공객실일상안전관리, 비행 전 객실서비스 실습, 착륙 전 여객운송실무, 객실서비스대화법, 면접실무실습, 응급환자대처법 등이 있습니다."
항공운항과의 취업분야는 어떻게 되나요?,"국내대형항공사 및 외국항공사, 대기업 비서직을 비롯한 일반 사무직, 호텔ㆍ관광 등 서비스 관련업체 등이 있습니다."
항공경영학과는 어떤 과인가요?,"항공운송 및 유관산업에서 필요로 하는 전문인 양성을 목표로 합니다. 대한항공과 연결된 컴퓨터 예약시스템과 항공화물시스템을 활용하여 예약, 발권, 운송, 화물업무를 현장감 있게 교육하고, 영어, 일어, 중국어 등의 외국어 교육은 물론 서비스 마인드와 사무 자동화 등의 다양한 실습을 통해 지식과 능력을 겸비한 전문 인력을 양성합니다."
항공경영학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 항공여객예약실습, 항공여객발권실습, 항공운송실습, 항공 및 해상 화물 실습, 항공영어회화, 항공실무일어, 영문서작성, 비즈니스매너실습, 사무자동화실무 등이 있습니다."
항공경영학과의 취업분야는 어떻게 되나요?,"항공사, 항공화물 • 해상화물회사(종합물류사), 은행 및 증권사(금융기관), 여행사(관광서비스업), 일반 대기업 등이 있습니다."
관광견영학과는 어떤 과인가요?,"1983년도 개설되어 관광 및 여행관련 산업분야에서 중추적 역할을 담당하고 있으며, 국제적 수준의 관광서비스 전문인력을 양성하는 것을 목표로 합니다. 이를 위해, 관광기업에서 요구하는 다양한 전공 교과목을 비롯하여 서비스 마인드 실무, 외국어 교육 등 현장실무 중심의 교육을 실시하고 있습니다. 현재 수 많은 졸업생들이 최고의 관광기업에서 역량을 발휘하고 있습니다."
관광견영학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 광학개론, 여행사경영, 관광지리자원, 관광마케팅, 관광실무영어, 관광비즈니스일어, 리조트와 캡스톤디자인 등이 있습니다."
관광견영학과의 취업분야는 어떻게 되나요?,"여행업, 관광호텔 및 컨벤션, 테마파크 및 리조트, 면세점 및 유통업, 항공업, 일반사무직 분야 등이 있습니다."
경영비서학과는 어떤 과인가요?,"4차 산업혁명 시대에 맞추어 현대 지식사회에서 요구하는 정보화 능력, 사무기술 능력, 외국어 능력을 종합적으로 갖춘 전문 비서인력을 육성하고 있습니다. 또한 인성교육을 통해 기업조직에서의 화합과 조화로운 인간관계 능력을 발휘하고 기업의 최고 경영진을 지혜롭게 보좌할 수 있는 기술과 인품을 겸비한 전문인력을 양성해오고 있습니다."
경영비서학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 비서학개론, 경영학원론, 영어문법, 회계원리, 비즈니스영문서, 워드프로세서, 문서작성 실무 등이 있습니다."
경영비서학과의 취업분야는 어떻게 되나요?,"일반기업체, 공공기관, 금융기관, 교육연구기관, 의료기관 등이 있습니다."
호텔경영학과는 어떤 과인가요?,호텔산업에 필요한 전문인력양성을 위해 국제적인 감각과 투철한 서비스 마인드를 갖춘 호텔리어(Hotelier) 양성을 목표로 합니다. 이를 위해 국제화되고 차별화된 교육프로그램을 통해 호텔 객실 및 식음료 실무를 포함하는 호텔경영 전반에 대한 교육과 카지노 및 외식산업에서 운영 및 대고객 서비스를 담당할 전문서비스인 양성을 위해 실무중심의 교육을 수행합니다.
호텔경영학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 호텔경영론, 객실관리론, 식음료서비스실무, 호텔마케팅, MICE 실무, 카지노실무, 호텔영어회화, 외식경영론, 바텐더, 소믈리에, 바리스타 등이 있습니다."
호텔경영학과의 취업분야는 어떻게 되나요?,"국내 및 해외 관광호텔, 외식산업, 카지노산업, 컨벤션 기획 및 컨벤션 산업, 콘도미니엄 업체, 서비스드 레지던스, 기타 관련 업체 등이 있습니다."
산업디자인학과는 어떤 과인가요?,"산업디자인 분야의 다양한 교육과정과 실무 프로그램을 통하여 산업현장에서 요구하는 창의적인 사고력과 디자인 기술 및 마케팅 능력을 향상시켜 제품·세라믹디자인, 시각디자인, 웹디자인 등의 분야에서 디자인의 산업적 가치를 충족시킬 수 있는 유능한 중견 디자이너를 양성합니다."
산업디자인학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 컴퓨터응용3D, 제품디자인, 광고디자인, 웹디자인, 영상편집디자인, 그래픽디자인, C.I디자인, 브랜드디자인 등이 있습니다."
산업디자인학과의 취업분야는 어떻게 되나요?,"그래픽디자인, 광고디자인, 웹디자인, 생활/환경용품디자인, 제품디자인, 운송기기디자인, 도자공예, 공공디자인, 디자인 연구개발, 디자인 마케팅, 기타 디자인서비스 등이 있습니다."
패션디자인학과는 어떤 과인가요?,"실무지향, 패션지향, 패션전문 교육과정을 바탕으로 2004년 3월에 신설되어 패션디자이너 및 패션머천다이저 등 패션 산업 각 분야에 전문 인력을 배출하고 있습니다. 또한 실제적 산학연계 마스터플랜을 토대로 40여개의 패션산업체와의 산학협력 결연을 맺어 산업체 맞춤형 교육과정을 통한 우수인력 배출은 물론 산업체에 필요한 다양한 패션자원으로서의 면모를 갖추고 21세기 전문교육기관으로서의 역할을 다하기 위해 노력하고 있습니다. "
패션디자인학과는 주로 어떤 과목을 배우나요?,"주요 교과목은 패션상품생산실무, 패션테크니컬디자인, 기성복제작, 패션브랜드전략기획, 산업패턴, 패션커뮤니케이션, 패션상품판매관리 등이 있습니다."
패션디자인학과의 취업분야는 어떻게 되나요?,"패션디자이너, 샵마스터, 머천다이저, VMD, 스타일리스트 등이 있습니다."
입학정원이 뭔가요?,"한 학과에 입학할 수 있는 총 인원수를 의미합니다. 일반전형과 정원내 특별전형의 모집 인원수를 모두 합한 인원수이며, 정원외 특별전형의 모집 인원수를 포함하지 않습니다."
기계공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
기계공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
기계공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
기계공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 19명, 특성화고 전형으로 6명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
기계공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
기계공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
기계설계공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
기계설계공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
기계설계공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
기계설계공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 17명, 특성화고 전형으로 8명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
기계설계공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
기계설계공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
메카트로닉스공학과의 입학 정원은 어떻게 되나요?,75명 입니다.
메카트로닉스공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
메카트로닉스공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 52명으로, 일반고 전형으로 37명, 특성화고 전형으로 15명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 52명에 포함하지 않습니다."
메카트로닉스공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 19명으로, 일반고 전형으로 10명, 특성화고 전형으로 9명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 19명에 포함하지 않습니다."
메카트로닉스공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 4명 입니다.
메카트로닉스공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
반도체기계정비학과의 입학 정원은 어떻게 되나요?,53명 입니다.
반도체기계정비학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
반도체기계정비학과의 수시1차 입학 정원은 어떻게 되나요?,"총 37명으로, 일반고 전형으로 26명, 특성화고 전형으로 11명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 37명에 포함하지 않습니다."
반도체기계정비학과의 수시2차 입학 정원은 어떻게 되나요?,"총 13명으로, 일반고 전형으로 10명, 특성화고 전형으로 3명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 13명에 포함하지 않습니다."
반도체기계정비학과의 일반 전형 입학 정원은 어떻게 되나요?,총 3명 입니다.
반도체기계정비학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,수시 2차와 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명입니다. 재외국민(2호) 전형도 1명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다.
조선기계공학과의 입학 정원은 어떻게 되나요?,90명 입니다.
조선기계공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
조선기계공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 63명으로, 일반고 전형으로 44명, 특성화고 전형으로 19명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 63명에 포함하지 않습니다."
조선기계공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 23명으로, 일반고 전형으로 14명, 특성화고 전형으로 9명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 23명에 포함하지 않습니다."
조선기계공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 4명 입니다.
조선기계공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
항공기계공학과의 입학 정원은 어떻게 되나요?,120명 입니다.
항공기계공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,모든 전형으로 지원할 수 있습니다.
항공기계공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 84명으로, 일반고 전형으로 50명, 특성화고 전형으로 21명, 영어일어 어학 특기자로 13명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 84명에 포함하지 않습니다."
항공기계공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 30명으로, 일반고 전형으로 18명, 특성화고 전형으로 8명, 영어일어 어학 특기자로 4명 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 30명에 포함하지 않습니다."
항공기계공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 6명 입니다.
항공기계공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 3명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 3명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
자동차공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
자동차공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
자동차공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
자동차공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 15명, 특성화고 전형으로 10명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
자동차공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
자동차공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
전기공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
전기공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
전기공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
전기공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 20명, 특성화고 전형으로 5명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
전기공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
전기공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
전자공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
전자공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
전자공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
전자공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 16명, 특성화고 전형으로 9명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
전자공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
전자공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
정보통신공학과의 입학 정원은 어떻게 되나요?,120명 입니다.
정보통신공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
정보통신공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 84명으로, 일반고 전형으로 59명, 특성화고 전형으로 25명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 84명에 포함하지 않습니다."
정보통신공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 30명으로, 일반고 전형으로 24명, 특성화고 전형으로 6명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 30명에 포함하지 않습니다."
정보통신공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 6명 입니다.
정보통신공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
컴퓨터정보공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
컴퓨터정보공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
컴퓨터정보공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
컴퓨터정보공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 19명, 특성화고 전형으로 6명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
컴퓨터정보공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
컴퓨터정보공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
컴퓨터시스템공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
컴퓨터시스템공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
컴퓨터시스템공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
컴퓨터시스템공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 18명, 특성화고 전형으로 7명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
컴퓨터시스템공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
컴퓨터시스템공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
디지털마케팅공학과의 입학 정원은 어떻게 되나요?,55명 입니다.
디지털마케팅공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
디지털마케팅공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 39명으로, 일반고 전형으로 27명, 특성화고 전형으로 12명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 39명에 포함하지 않습니다."
디지털마케팅공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 13명으로, 일반고 전형으로 10명, 특성화고 전형으로 3명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 13명에 포함하지 않습니다."
디지털마케팅공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 3명 입니다.
디지털마케팅공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,수시 2차와 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명입니다. 재외국민(2호) 전형도 1명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다.
건설환경공학과의 입학 정원은 어떻게 되나요?,95명 입니다.
건설환경공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
건설환경공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 66명으로, 일반고 전형으로 46명, 특성화고 전형으로 20명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 66명에 포함하지 않습니다."
건설환경공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 24명으로, 일반고 전형으로 17명, 특성화고 전형으로 7명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 24명에 포함하지 않습니다."
건설환경공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
건설환경공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
공간정보빅데이터학과의 입학 정원은 어떻게 되나요?,75명 입니다.
공간정보빅데이터학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
공간정보빅데이터학과의 수시1차 입학 정원은 어떻게 되나요?,"총 53명으로, 일반고 전형으로 36명, 특성화고 전형으로 17명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 53명에 포함하지 않습니다."
공간정보빅데이터학과의 수시2차 입학 정원은 어떻게 되나요?,"총 18명으로, 일반고 전형으로 13명, 특성화고 전형으로 5명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 18명에 포함하지 않습니다."
공간정보빅데이터학과의 일반 전형 입학 정원은 어떻게 되나요?,총 4명 입니다.
공간정보빅데이터학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
화학생명공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
화학생명공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
화학생명공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
화학생명공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 20명, 특성화고 전형으로 5명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
화학생명공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
화학생명공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
재료공학과의 입학 정원은 어떻게 되나요?,100명 입니다.
재료공학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
재료공학과의 수시1차 입학 정원은 어떻게 되나요?,"총 70명으로, 일반고 전형으로 49명, 특성화고 전형으로 21명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 70명에 포함하지 않습니다."
재료공학과의 수시2차 입학 정원은 어떻게 되나요?,"총 25명으로, 일반고 전형으로 19명, 특성화고 전형으로 6명을 모집합니다. 수시 2차 정원외 특별전형의 모집인원은 25명에 포함하지 않습니다."
재료공학과의 일반 전형 입학 정원은 어떻게 되나요?,총 5명 입니다.
재료공학과의 정원외 특별전형 입학 정원은 어떻게 되나요?,"수시 2차의 농어촌 전형은 1명, 수급자 및 차상위 전형은 2명입니다. 정시의 농어촌 전형과 수급자 및 차상위 전형은 각각 1명이며, 재외국민(2호) 전형은 2명입니다. 나머지 정원외 특별전형의 모집인원은 제한 없습니다."
건축학과의 입학 정원은 어떻게 되나요?,90명 입니다.
건축학과가 지원할 수 있는 입학 전형은 어떤게 있나요?,"정원내 특별전형의 어학 특기자 전형을 제외하고 모두 지원할 수 있습니다. 단, 정원외 특별전형은 특정 조건을 만족할 경우에만 지원할 수 있으므로 유의하시기 바랍니다."
건축학과의 수시1차 입학 정원은 어떻게 되나요?,"총 63명으로, 일반고 전형으로 44명, 특성화고 전형으로 19명을 모집합니다. 수시 1차 정원외 특별전형의 모집인원은 63명에 포함하지 않습니다."
